x,y,result
-0.6,-0.7,-0.180915598007
-0.5,-0.7,-0.248168471097
-0.4,-0.7,-0.34055016926
-0.3,-0.7,-0.46454447209
-0.2,-0.7,-0.625014355739
-0.1,-0.7,-0.822513991853
0.0,-0.7,1.05094617053
0.1,-0.7,1.29704155313
0.2,-0.7,1.5414396119
0.3,-0.7,1.75932441942
0.4,-0.7,1.92110231449
0.5,-0.7,1.99901474974
0.6,-0.7,1.98164866378
0.7,-0.7,1.88259577183
0.8,-0.7,1.73078585219
0.9,-0.7,1.55375730684
1.0,-0.7,1.36967538693
1.1,-0.7,-1.18816735229
1.2,-0.7,-1.01336166475
1.3,-0.7,-0.846304521279
1.4,-0.7,-0.687510760903
1.5,-0.7,-0.539879895916
1.6,-0.7,-0.409415247349
1.7,-0.7,-0.301895906292
1.8,-0.7,-0.21902493145
1.9,-0.7,-0.158175799162
2.0,-0.7,-0.114691230191
-1.0,-0.6,-0.0526086671102
-0.9,-0.6,-0.0709437500775
-0.8,-0.6,-0.0970042077458
-0.7,-0.6,-0.13444640393
-0.6,-0.6,-0.188640569671
-0.5,-0.6,-0.2671958063
-0.4,-0.6,-0.380139530849
-0.3,-0.6,-0.538937895332
-0.2,-0.6,-0.753230756315
-0.1,-0.6,-1.02517123939
0.0,-0.6,1.34467383262
0.1,-0.6,1.69132948059
0.2,-0.6,2.04275516514
0.3,-0.6,2.37850762746
0.4,-0.6,2.67094017094
0.5,-0.6,2.87337835179
0.6,-0.6,2.9333995679
0.7,-0.6,2.83569225907
0.8,-0.6,2.61911360914
0.9,-0.6,2.3409629409
1.0,-0.6,2.04248366013
1.1,-0.6,-1.74453926169
1.2,-0.6,-1.45506311619
1.3,-0.6,-1.17577483913
1.4,-0.6,-0.91036538314
1.5,-0.6,-0.671555859996
1.6,-0.6,-0.475646879756
1.7,-0.6,-0.32933182534
1.8,-0.6,-0.226972796126
1.9,-0.6,-0.157630203481
2.0,-0.6,-0.11102811462
-1.0,-0.5,-0.0484126611883
-0.9,-0.5,-0.0663474702581
-0.8,-0.5,-0.0925408040953
-0.7,-0.5,-0.131448829298
-0.6,-0.5,-0.190101690534
-0.5,-0.5,-0.279372118308
-0.4,-0.5,-0.415173422487
-0.3,-0.5,-0.618020574287
-0.2,-0.5,-0.907439885177
-0.1,-0.5,-1.2881237849
