latitude,longitude,Time,Readings
-33.8966267,151.1959850,66835.0,-0.338
-33.8966250,151.1959800,66836.0,-0.336
-33.8966234,151.1959733,66837.0,-0.307
-33.8966250,151.1959666,66838.0,-0.297
-33.8966234,151.1959616,66839.0,-0.285
-33.8966250,151.1959533,66840.0,-0.334
-33.8966267,151.1959466,66841.0,-0.293
-33.8966284,151.1959433,66842.0,-0.303
-33.8966284,151.1959399,66843.0,-0.308
-33.8966284,151.1959350,66844.0,-0.314
-33.8966300,151.1959316,66845.0,-0.297
-33.8966317,151.1959300,66846.0,-0.286
-33.8966350,151.1959266,66847.0,-0.249
-33.8966367,151.1959250,66848.0,-0.255
-33.8966433,151.1959233,66849.0,-0.309
-33.8966467,151.1959216,66850.0,-0.306
-33.8966500,151.1959233,66851.0,-0.321
-33.8966500,151.1959216,66852.0,-0.278
-33.8966533,151.1959233,66853.0,-0.293
-33.8966567,151.1959266,66854.0,-0.297
-33.8966600,151.1959300,66855.0,-0.326
-33.8966634,151.1959300,66856.0,-0.313
-33.8966666,151.1959316,66857.0,-0.33
-33.8966717,151.1959316,66858.0,-0.326
-33.8966783,151.1959333,66859.0,-0.332
-33.8966833,151.1959333,66860.0,-0.225
-33.8966883,151.1959350,66861.0,-0.315
-33.8966967,151.1959350,66862.0,-0.303
-33.8967033,151.1959366,66863.0,-0.307
-33.8967133,151.1959366,66864.0,-0.31
-33.8967217,151.1959366,66865.0,-0.304
-33.8967283,151.1959383,66866.0,-0.326
-33.8967350,151.1959399,66867.0,-0.325
-33.8967434,151.1959450,66868.0,-0.303
-33.8967516,151.1959483,66869.0,-0.335
-33.8967583,151.1959500,66870.0,-0.299
-33.8967617,151.1959516,66871.0,-0.343
-33.8967683,151.1959516,66872.0,-0.329
-33.8967717,151.1959516,66873.0,-0.319
-33.8967800,151.1959500,66874.0,-0.318
-33.8967884,151.1959516,66875.0,-0.327
-33.8967933,151.1959550,66876.0,-0.306
-33.8967983,151.1959566,66877.0,-0.315
-33.8968050,151.1959583,66878.0,-0.3
-33.8968117,151.1959583,66879.0,-0.331
-33.8968183,151.1959600,66880.0,-0.324
-33.8968233,151.1959600,66881.0,-0.287
-33.8968266,151.1959600,66882.0,-0.313
-33.8968333,151.1959600,66883.0,-0.327
-33.8968400,151.1959600,66884.0,-0.335
-33.8968450,151.1959600,66885.0,-0.317
-33.8968516,151.1959600,66886.0,-0.339
-33.8968550,151.1959583,66887.0,-0.299
-33.8968599,151.1959600,66888.0,-0.287
-33.8968633,151.1959616,66889.0,-0.305
-33.8968666,151.1959583,66890.0,-0.282
-33.8968699,151.1959566,66891.0,-0.306
-33.8968733,151.1959533,66892.0,-0.313
-33.8968783,151.1959516,66893.0,-0.328
-33.8968800,151.1959500,66894.0,-0.332
-33.8968849,151.1959483,66895.0,-0.309
-33.8968899,151.1959466,66896.0,-0.316
-33.8968950,151.1959450,66897.0,-0.338
-33.8969000,151.1959416,66898.0,-0.309
-33.8969050,151.1959399,66899.0,-0.332
-33.8969083,151.1959383,66900.0,-0.324
-33.8969133,151.1959366,66901.0,-0.334
-33.8969183,151.1959350,66902.0,-0.298
-33.8969250,151.1959350,66903.0,-0.285
-33.8969300,151.1959350,66904.0,-0.311
-33.8969333,151.1959350,66905.0,-0.309
-33.8969383,151.1959350,66906.0,-0.31
-33.8969433,151.1959366,66907.0,-0.325
-33.8969499,151.1959333,66908.0,-0.343
-33.8969566,151.1959333,66909.0,-0.321
-33.8969633,151.1959333,66910.0,-0.371
-33.8969682,151.1959333,66911.0,-0.39
-33.8969749,151.1959333,66912.0,-0.321
-33.8969816,151.1959333,66913.0,-0.319
-33.8969883,151.1959350,66914.0,-0.325
-33.8969933,151.1959350,66915.0,-0.316
-33.8970000,151.1959366,66916.0,-0.318
-33.8970050,151.1959416,66917.0,-0.306
-33.8970100,151.1959466,66918.0,-0.309
-33.8970134,151.1959500,66919.0,-0.311
-33.8970166,151.1959516,66920.0,-0.314
-33.8970233,151.1959566,66921.0,-0.311
-33.8970283,151.1959600,66922.0,-0.332
-33.8970349,151.1959600,66923.0,-0.307
-33.8970400,151.1959633,66924.0,-0.319
-33.8970433,151.1959666,66925.0,-0.321
-33.8970483,151.1959700,66926.0,-0.336
-33.8970516,151.1959750,66927.0,-0.341
-33.8970566,151.1959800,66928.0,-0.333
-33.8970600,151.1959850,66929.0,-0.259
-33.8970650,151.1959883,66930.0,-0.301
-33.8970700,151.1959950,66931.0,-0.263
-33.8970750,151.1960050,66932.0,-0.32
-33.8970784,151.1960100,66933.0,-0.304
-33.8970850,151.1960133,66934.0,-0.295
-33.8970900,151.1960183,66935.0,-0.33
-33.8970967,151.1960233,66936.0,-0.3
-33.8970967,151.1960300,66937.0,-0.322
-33.8970984,151.1960366,66938.0,-0.321
-33.8971000,151.1960416,66939.0,-0.289
-33.8971016,151.1960516,66940.0,-0.321
-33.8970984,151.1960633,66941.0,-0.322
-33.8970967,151.1960700,66942.0,-0.303
-33.8970950,151.1960749,66943.0,-0.318
-33.8970917,151.1960816,66944.0,-0.299
-33.8970867,151.1960866,66945.0,-0.277
-33.8970833,151.1960916,66946.0,-0.303
-33.8970817,151.1960950,66947.0,-0.308
-33.8970784,151.1961016,66948.0,-0.314
-33.8970734,151.1961050,66949.0,-0.309
-33.8970683,151.1961066,66950.0,-0.312
-33.8970633,151.1961100,66951.0,-0.328
-33.8970566,151.1961133,66952.0,-0.28
-33.8970500,151.1961166,66953.0,-0.351
-33.8970433,151.1961166,66954.0,-0.321
-33.8970366,151.1961166,66955.0,-0.3
-33.8970300,151.1961166,66956.0,-0.334
-33.8970217,151.1961166,66957.0,-0.299
-33.8970150,151.1961183,66958.0,-0.288
-33.8970100,151.1961216,66959.0,-0.294
-33.8970016,151.1961216,66960.0,-0.321
-33.8969933,151.1961233,66961.0,-0.334
-33.8969849,151.1961250,66962.0,-0.344
-33.8969800,151.1961266,66963.0,-0.348
-33.8969733,151.1961283,66964.0,-0.316
-33.8969666,151.1961300,66965.0,-0.346
-33.8969583,151.1961333,66966.0,-0.305
-33.8969499,151.1961366,66967.0,-0.333
-33.8969450,151.1961383,66968.0,-0.319
-33.8969400,151.1961416,66969.0,-0.335
-33.8969349,151.1961433,66970.0,-0.332
-33.8969284,151.1961450,66971.0,-0.303
-33.8969200,151.1961450,66972.0,-0.307
-33.8969117,151.1961466,66973.0,-0.305
-33.8969067,151.1961466,66974.0,-0.285
-33.8969017,151.1961450,66975.0,-0.291
-33.8968966,151.1961433,66976.0,-0.297
-33.8968916,151.1961416,66977.0,-0.358
-33.8968866,151.1961416,66978.0,-0.296
-33.8968816,151.1961400,66979.0,-0.327
-33.8968750,151.1961366,66980.0,-0.339
-33.8968716,151.1961350,66981.0,-0.295
-33.8968699,151.1961316,66982.0,-0.286
-33.8968683,151.1961283,66983.0,-0.276
-33.8968666,151.1961266,66984.0,-0.271
-33.8968650,151.1961250,66985.0,-0.308
-33.8968633,151.1961233,66986.0,-0.314
-33.8968599,151.1961233,66987.0,-0.327
-33.8968533,151.1961233,66988.0,-0.308
-33.8968499,151.1961250,66989.0,-0.307
-33.8968450,151.1961266,66990.0,-0.297
-33.8968383,151.1961266,66991.0,-0.308
-33.8968350,151.1961283,66992.0,-0.268
-33.8968266,151.1961316,66993.0,-0.303
-33.8968217,151.1961333,66994.0,-0.263
-33.8968166,151.1961333,66995.0,-0.247
-33.8968117,151.1961316,66996.0,-0.294
-33.8968067,151.1961300,66997.0,-0.284
-33.8968033,151.1961300,66998.0,-0.283
-33.8967983,151.1961283,66999.0,-0.283
-33.8967933,151.1961266,67000.0,-0.319
-33.8967884,151.1961266,67001.0,-0.296
-33.8967817,151.1961266,67002.0,-0.327
-33.8967800,151.1961283,67003.0,-0.302
-33.8967750,151.1961316,67004.0,-0.304
-33.8967699,151.1961350,67005.0,-0.298
-33.8967650,151.1961366,67006.0,-0.299
-33.8967583,151.1961383,67007.0,-0.323
-33.8967567,151.1961400,67008.0,-0.312
-33.8967500,151.1961383,67009.0,-0.313
-33.8967434,151.1961350,67010.0,-0.294
-33.8967367,151.1961350,67011.0,-0.29
-33.8967316,151.1961333,67012.0,-0.301
-33.8967249,151.1961283,67013.0,-0.325
-33.8967199,151.1961250,67014.0,-0.327
-33.8967116,151.1961233,67015.0,-0.325
-33.8967033,151.1961216,67016.0,-0.317
-33.8966967,151.1961200,67017.0,-0.314
-33.8966900,151.1961183,67018.0,-0.294
-33.8966833,151.1961166,67019.0,-0.339
-33.8966750,151.1961116,67020.0,-0.314
-33.8966666,151.1961066,67021.0,-0.311
-33.8966567,151.1961033,67022.0,-0.266
-33.8966500,151.1961000,67023.0,-0.281
-33.8966400,151.1960950,67024.0,-0.292
-33.8966300,151.1960916,67025.0,-0.272
-33.8966234,151.1960883,67026.0,-0.301
-33.8966134,151.1960866,67027.0,-0.301
-33.8966067,151.1960850,67028.0,-0.292
-33.8965984,151.1960833,67029.0,-0.335
-33.8965917,151.1960816,67030.0,-0.311
-33.8965834,151.1960783,67031.0,-0.302
-33.8965784,151.1960783,67032.0,-0.317
-33.8965718,151.1960783,67033.0,-0.304
-33.8965634,151.1960800,67034.0,-0.313
-33.8965567,151.1960816,67035.0,-0.311
-33.8965500,151.1960850,67036.0,-0.265
-33.8965451,151.1960883,67037.0,-0.261
-33.8965417,151.1960916,67038.0,-0.269
-33.8965384,151.1960950,67039.0,-0.284
-33.8965350,151.1960983,67040.0,-0.316
-33.8965333,151.1961050,67041.0,-0.311
-33.8965317,151.1961116,67042.0,-0.335
-33.8965317,151.1961166,67043.0,-0.327
-33.8965350,151.1961250,67044.0,-0.318
-33.8965384,151.1961316,67045.0,-0.236
-33.8965417,151.1961383,67046.0,-0.285
-33.8965451,151.1961450,67047.0,-0.233
-33.8965500,151.1961483,67048.0,-0.305
-33.8965533,151.1961550,67049.0,-0.294
-33.8965600,151.1961600,67050.0,-0.3
-33.8965650,151.1961633,67051.0,-0.295
-33.8965718,151.1961633,67052.0,-0.3
-33.8965767,151.1961650,67053.0,-0.281
-33.8965817,151.1961666,67054.0,-0.297
-33.8965867,151.1961700,67055.0,-0.276
-33.8965933,151.1961733,67056.0,-0.315
-33.8965984,151.1961750,67057.0,-0.312
-33.8966051,151.1961783,67058.0,-0.304
-33.8966100,151.1961816,67059.0,-0.289
-33.8966167,151.1961833,67060.0,-0.293
-33.8966234,151.1961866,67061.0,-0.289
-33.8966284,151.1961899,67062.0,-0.278
-33.8966333,151.1961933,67063.0,-0.278
-33.8966383,151.1961966,67064.0,-0.296
-33.8966450,151.1961999,67065.0,-0.262
-33.8966500,151.1962033,67066.0,-0.256
-33.8966600,151.1962066,67067.0,-0.291
-33.8966683,151.1962083,67068.0,-0.266
-33.8966750,151.1962116,67069.0,-0.311
-33.8966833,151.1962133,67070.0,-0.336
-33.8966916,151.1962166,67071.0,-0.305
-33.8966983,151.1962200,67072.0,-0.33
-33.8967083,151.1962216,67073.0,-0.324
-33.8967167,151.1962233,67074.0,-0.315
-33.8967217,151.1962249,67075.0,-0.306
-33.8967300,151.1962266,67076.0,-0.293
-33.8967367,151.1962283,67077.0,-0.291
-33.8967434,151.1962316,67078.0,-0.316
-33.8967500,151.1962349,67079.0,-0.306
-33.8967567,151.1962366,67080.0,-0.295
-33.8967650,151.1962383,67081.0,-0.338
-33.8967717,151.1962399,67082.0,-0.312
-33.8967800,151.1962399,67083.0,-0.319
-33.8967866,151.1962416,67084.0,-0.262
-33.8967916,151.1962433,67085.0,-0.266
-33.8967983,151.1962466,67086.0,-0.281
-33.8968050,151.1962499,67087.0,-0.293
-33.8968099,151.1962516,67088.0,-0.308
-33.8968150,151.1962533,67089.0,-0.309
-33.8968199,151.1962516,67090.0,-0.274
-33.8968250,151.1962516,67091.0,-0.244
-33.8968316,151.1962516,67092.0,-0.303
-33.8968383,151.1962533,67093.0,-0.33
-33.8968450,151.1962516,67094.0,-0.28
-33.8968533,151.1962516,67095.0,-0.32
-33.8968583,151.1962533,67096.0,-0.311
-33.8968650,151.1962550,67097.0,-0.315
-33.8968683,151.1962583,67098.0,-0.303
-33.8968733,151.1962583,67099.0,-0.296
-33.8968800,151.1962599,67100.0,-0.317
-33.8968849,151.1962616,67101.0,-0.314
-33.8968916,151.1962650,67102.0,-0.306
-33.8968983,151.1962683,67103.0,-0.32
-33.8969067,151.1962699,67104.0,-0.287
-33.8969150,151.1962733,67105.0,-0.289
-33.8969217,151.1962766,67106.0,-0.29
-33.8969284,151.1962799,67107.0,-0.308
-33.8969349,151.1962850,67108.0,-0.307
-33.8969416,151.1962899,67109.0,-0.301
-33.8969483,151.1962933,67110.0,-0.313
-33.8969566,151.1962966,67111.0,-0.326
-33.8969650,151.1963016,67112.0,-0.272
-33.8969733,151.1963050,67113.0,-0.31
-33.8969800,151.1963083,67114.0,-0.301
-33.8969866,151.1963100,67115.0,-0.314
-33.8969933,151.1963150,67116.0,-0.319
-33.8970016,151.1963183,67117.0,-0.277
-33.8970100,151.1963200,67118.0,-0.326
-33.8970166,151.1963233,67119.0,-0.303
-33.8970233,151.1963249,67120.0,-0.315
-33.8970283,151.1963316,67121.0,-0.319
-33.8970349,151.1963366,67122.0,-0.335
-33.8970366,151.1963416,67123.0,-0.334
-33.8970400,151.1963466,67124.0,-0.352
-33.8970416,151.1963500,67125.0,-0.33
-33.8970400,151.1963533,67126.0,-0.312
-33.8970366,151.1963616,67127.0,-0.329
-33.8970349,151.1963650,67128.0,-0.313
-33.8970317,151.1963699,67129.0,-0.327
-33.8970283,151.1963716,67130.0,-0.318
-33.8970200,151.1963749,67131.0,-0.308
-33.8970134,151.1963766,67132.0,-0.311
-33.8970083,151.1963766,67133.0,-0.297
-33.8969949,151.1963733,67134.0,-0.298
-33.8969816,151.1963716,67135.0,-0.316
-33.8969666,151.1963699,67136.0,-0.318
-33.8969600,151.1963683,67137.0,-0.305
-33.8969483,151.1963666,67138.0,-0.331
-33.8969383,151.1963650,67139.0,-0.329
-33.8969284,151.1963633,67140.0,-0.285
-33.8969200,151.1963600,67141.0,-0.304
-33.8969100,151.1963600,67142.0,-0.311
-33.8969033,151.1963600,67143.0,-0.302
-33.8968933,151.1963583,67144.0,-0.331
-33.8968832,151.1963583,67145.0,-0.328
-33.8968716,151.1963566,67146.0,-0.318
-33.8968617,151.1963550,67147.0,-0.307
-33.8968550,151.1963533,67148.0,-0.29
-33.8968467,151.1963533,67149.0,-0.318
-33.8968383,151.1963516,67150.0,-0.323
-33.8968300,151.1963483,67151.0,-0.313
-33.8968233,151.1963450,67152.0,-0.317
-33.8968166,151.1963400,67153.0,-0.324
-33.8968099,151.1963366,67154.0,-0.308
